ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
CA00303A0Q6,19660827,PRCP,76,,,C,
CA00303A0Q6,19660828,PRCP,0,,,C,
CA00303A0Q6,19660829,PRCP,18,,,C,
CA00303A0Q6,19660830,PRCP,0,,,C,
CA00303A0Q6,19660831,PRCP,0,,,C,
CA00303A0Q6,19660827,SNOW,0,,,C,
CA00303A0Q6,19660828,SNOW,0,,,C,
CA00303A0Q6,19660829,SNOW,0,,,C,
CA00303A0Q6,19660830,SNOW,0,,,C,
CA00303A0Q6,19660831,SNOW,0,,,C,
CA00303A0Q6,19660901,PRCP,0,,,C,
CA00303A0Q6,19660902,PRCP,0,,,C,
CA00303A0Q6,19660903,PRCP,0,,,C,
CA00303A0Q6,19660904,PRCP,0,,,C,
CA00303A0Q6,19660905,PRCP,0,,,C,
CA00303A0Q6,19660906,PRCP,0,,,C,
CA00303A0Q6,19660907,PRCP,0,,,C,
CA00303A0Q6,19660908,PRCP,0,,,C,
CA00303A0Q6,19660909,PRCP,0,,,C,
CA00303A0Q6,19660910,PRCP,0,,,C,
CA00303A0Q6,19660911,PRCP,0,,,C,
CA00303A0Q6,19660912,PRCP,0,,,C,
CA00303A0Q6,19660913,PRCP,0,,,C,
CA00303A0Q6,19660914,PRCP,0,,,C,
CA00303A0Q6,19660915,PRCP,0,,,C,
CA00303A0Q6,19660916,PRCP,0,,,C,
CA00303A0Q6,19660917,PRCP,0,,,C,
CA00303A0Q6,19660918,PRCP,0,,,C,
CA00303A0Q6,19660919,PRCP,0,,,C,
CA00303A0Q6,19660920,PRCP,0,,,C,
CA00303A0Q6,19660921,PRCP,0,,,C,
CA00303A0Q6,19660922,PRCP,0,,,C,
CA00303A0Q6,19660923,PRCP,8,,,C,
CA00303A0Q6,19660924,PRCP,0,,,C,
CA00303A0Q6,19660925,PRCP,3,,,C,
CA00303A0Q6,19660926,PRCP,0,,,C,
CA00303A0Q6,19660927,PRCP,0,,,C,
